Country,Age,Salary,Purchased
Spain,22,71000,No
France,50,78000,No
France,45,75000,Yes
Spain,22,75000,No
Spain,22,78000,No
France,37,76000,Yes
Spain,22,80000,No
France,50,77000,No
France,50,77000,No
France,50,76000,No
France,50,81000,No
Spain,22,79000,No
Spain,22,80000,No
